date,HSI
20200122,28341.03906
20200123,27909.11914
20200124,27949.64063
20200129,27160.63086
20200130,26449.13086
20200131,26312.63086
20200203,26356.98047
20200204,26675.98047
20200205,26786.74023
20200206,27493.69922
20200207,27404.26953
20200210,27241.33984
20200211,27583.88086
20200212,27823.66016
20200213,27730
20200214,27815.59961
20200217,27959.59961
20200218,27530.19922
20200219,27655.81055
20200220,27609.16016
20200221,27308.81055
20200224,26820.88086
20200225,26893.23047
20200226,26696.49023
20200227,26778.61914
20200228,26129.92969
20200302,26291.67969
20200303,26284.82031
20200304,26222.07031
20200305,26767.86914
20200306,26146.66992
20200309,25040.46094
20200310,25392.50977
20200311,25231.60938
20200312,24309.07031
20200313,24032.91016
20200316,23063.57031
20200317,23263.73047
20200318,22291.82031
20200319,21709.13086
20200320,22805.07031
20200323,21696.13086
20200324,22663.49023
20200325,23527.18945
20200326,23352.33984
20200327,23484.2793
20200330,23175.10938
20200331,23603.48047
20200401,23085.78906
20200402,23280.06055
20200403,23236.10938
20200406,23749.11914
20200407,24253.28906
20200408,23970.36914
20200409,24300.33008
20200414,24435.40039
20200415,24145.33984
20200416,24006.44922
20200417,24380
20200420,24330.01953
20200421,23793.55078
20200422,23893.35938
20200423,23977.32031
20200424,23831.33008
20200427,24280.14063
20200428,24575.96094
20200429,24643.58984
20200504,23613.80078
20200505,23868.66016
20200506,24137.48047
20200507,23980.63086
20200508,24230.16992
20200511,24602.06055
20200512,24245.67969
20200513,24180.30078
20200514,23829.74023
20200515,23797.4707
20200518,23934.76953
20200519,24388.13086
20200520,24399.94922
20200521,24280.0293
20200522,22930.14063
20200525,22952.24023
20200526,23384.66016
20200527,23301.35938
20200528,23132.75977
20200529,22961.4707
20200601,23732.51953
20200602,23995.93945
20200603,24325.61914
20200604,24366.30078
